#batch_size = 10 | epochs = 40
#seed | (countHitsMotif, countHitsBackground, countMaxValueInMotifRange, avgDiff, mapDiff)
62 | (278, 261, 279, 2.78,  {0: 0, 1: 43, 2: 54, 3: 91, 4: 58, 5: 30, 6: 0, 7: 1, 8: 4, 9: 1, 10: 0})
63 | (284, 261, 288, 3.32,  {0: 0, 1: 0, 2: 59, 3: 91, 4: 93, 5: 43, 6: 0, 7: 0, 8: 1, 9: 1, 10: 0})
64 | (278, 279, 257, 1.61,  {0: 104, 1: 0, 2: 71, 3: 0, 4: 79, 5: 3, 6: 0, 7: 0, 8: 4, 9: 3, 10: 0})
65 | (237, 252, 263, 1.29,  {0: 107, 1: 61, 2: 0, 3: 58, 4: 36, 5: 0, 6: 0, 7: 0, 8: 1, 9: 1, 10: 0})
66 | (264, 269, 291, 2.97,  {0: 93, 1: 0, 2: 0, 3: 0, 4: 102, 5: 95, 6: 0, 7: 1, 8: 1, 9: 0, 10: 0})
67 | (275, 268, 283, 1.0,   {0: 91, 1: 91, 2: 100, 3: 0, 4: 0, 5: 0, 6: 0, 7: 1, 8: 0, 9: 1, 10: 0})
68 | (268, 274, 287, 3.0,   {0: 90, 1: 0, 2: 0, 3: 0, 4: 94, 5: 100, 6: 0, 7: 0, 8: 2, 9: 1, 10: 0})
69 | (275, 276, 289, 3.92,  {0: 0, 1: 0, 2: 0, 3: 92, 4: 94, 5: 100, 6: 0, 7: 0, 8: 2, 9: 1, 10: 0})
70 | (284, 245, 284, 1.56,  {0: 36, 1: 100, 2: 95, 3: 48, 4: 0, 5: 0, 6: 0, 7: 5, 8: 0, 9: 1, 10: 0})
71 | (237, 265, 292, 3.02,  {0: 93, 1: 0, 2: 0, 3: 0, 4: 93, 5: 105, 6: 0, 7: 0, 8: 0, 9: 1, 10: 0})
72 | (264, 272, 284, 3.57,  {0: 0, 1: 0, 2: 43, 3: 89, 4: 49, 5: 101, 6: 0, 7: 0, 8: 1, 9: 1, 10: 0})
73 | (281, 278, 286, 2.88,  {0: 94, 1: 0, 2: 0, 3: 0, 4: 96, 5: 96, 6: 0, 7: 1, 8: 0, 9: 0, 10: 0})
74 | (260, 259, 242, 2.75,  {0: 0, 1: 28, 2: 17, 3: 110, 4: 49, 5: 0, 6: 32, 7: 5, 8: 2, 9: 1, 10: 0})
75 | (276, 282, 291, 3.93,  {0: 0, 1: 0, 2: 0, 3: 92, 4: 103, 5: 92, 6: 0, 7: 1, 8: 4, 9: 0, 10: 0})
76 | (281, 268, 288, 2.95,  {0: 91, 1: 0, 2: 0, 3: 0, 4: 100, 5: 97, 6: 0, 7: 1, 8: 0, 9: 0, 10: 0})
77 | (281, 249, 274, 1.87,  {0: 94, 1: 85, 2: 0, 3: 0, 4: 0, 5: 95, 6: 0, 7: 1, 8: 0, 9: 0, 10: 0})
78 | (288, 272, 291, 2.96,  {0: 96, 1: 0, 2: 0, 3: 0, 4: 94, 5: 99, 6: 0, 7: 0, 8: 2, 9: 0, 10: 0})
79 | (266, 255, 180, 1.43,  {0: 0, 1: 94, 2: 62, 3: 56, 4: 23, 5: 0, 6: 0, 7: 0, 8: 2, 9: 1, 10: 0})
80 | (288, 262, 278, 2.31,  {0: 0, 1: 79, 2: 49, 3: 100, 4: 46, 5: 0, 6: 0, 7: 0, 8: 4, 9: 0, 10: 0})
81 | (251, 276, 250, 2.71,  {0: 0, 1: 48, 2: 59, 3: 49, 4: 59, 5: 42, 6: 12, 7: 1, 8: 1, 9: 0, 10: 0})
82 | (280, 262, 284, 2.39,  {0: 0, 1: 48, 2: 96, 3: 93, 4: 45, 5: 0, 6: 0, 7: 0, 8: 1, 9: 1, 10: 0})
83 | (282, 273, 287, 0.93,  {0: 102, 1: 92, 2: 93, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 1, 9: 0, 10: 0})
84 | (291, 256, 283, 2.74,  {0: 0, 1: 96, 2: 0, 3: 104, 4: 1, 5: 83, 6: 0, 7: 1, 8: 0, 9: 0, 10: 0})
85 | (264, 263, 286, 2.62,  {0: 92, 1: 0, 2: 0, 3: 51, 4: 81, 5: 62, 6: 0, 7: 0, 8: 1, 9: 0, 10: 0})
86 | (279, 265, 290, 3.91,  {0: 0, 1: 0, 2: 0, 3: 93, 4: 104, 5: 89, 6: 0, 7: 1, 8: 4, 9: 0, 10: 0})
87 | (279, 271, 277, 1.84,  {0: 0, 1: 93, 2: 94, 3: 90, 4: 0, 5: 1, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0})
88 | (275, 256, 276, 2.09,  {0: 0, 1: 85, 2: 104, 3: 31, 4: 51, 5: 1, 6: 0, 7: 4, 8: 2, 9: 0, 10: 0})
89 | (266, 256, 270, 2.33,  {0: 94, 1: 44, 2: 0, 3: 0, 4: 47, 5: 43, 6: 42, 7: 2, 8: 0, 9: 1, 10: 0})
90 | (287, 227, 277, 3.9,   {0: 0, 1: 0, 2: 42, 3: 31, 4: 93, 5: 49, 6: 61, 7: 0, 8: 2, 9: 0, 10: 0})
91 | (281, 257, 275, 1.87,  {0: 0, 1: 92, 2: 89, 3: 92, 4: 0, 5: 0, 6: 0, 7: 1, 8: 3, 9: 0, 10: 0})
92 | (266, 279, 293, 2.98,  {0: 0, 1: 0, 2: 90, 3: 103, 4: 99, 5: 0, 6: 0, 7: 0, 8: 2, 9: 0, 10: 0})
93 | (274, 268, 288, 2.49,  {0: 93, 1: 43, 2: 0, 3: 0, 4: 55, 5: 97, 6: 0, 7: 1, 8: 0, 9: 0, 10: 0})
94 | (267, 283, 291, 2.96,  {0: 96, 1: 0, 2: 0, 3: 0, 4: 94, 5: 99, 6: 0, 7: 0, 8: 2, 9: 0, 10: 0})
95 | (276, 257, 291, 3.47,  {0: 0, 1: 38, 2: 0, 3: 102, 4: 59, 5: 92, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0})
96 | (268, 238, 269, 3.02,  {0: 0, 1: 41, 2: 0, 3: 117, 4: 79, 5: 0, 6: 33, 7: 0, 8: 2, 9: 0, 10: 0})
97 | (285, 260, 279, 1.88,  {0: 0, 1: 85, 2: 102, 3: 92, 4: 0, 5: 0, 6: 1, 7: 0, 8: 0, 9: 0, 10: 0})
98 | (259, 277, 289, 2.86,  {0: 98, 1: 0, 2: 0, 3: 0, 4: 99, 5: 91, 6: 0, 7: 0, 8: 2, 9: 0, 10: 0})
