#batch_size = 10 | epochs = 20
#seed | (countHitsMotif, countHitsBackground, countMaxValueInMotifRange, avgDiff, mapDiff)
163 | (278, 273, 282, 2.82, {0: 94, 1: 0, 2: 0, 3: 0, 4: 96, 5: 92, 6: 0, 7: 0, 8: 2, 9: 0, 10: 0})
164 | (292, 286, 282, 0.97, {0: 91, 1: 92, 2: 99, 3: 0, 4: 0, 5: 0, 6: 0, 7: 1, 8: 0, 9: 0, 10: 0})
165 | (267, 259, 283, 2.39, {0: 0, 1: 86, 2: 48, 3: 105, 4: 0, 5: 45, 6: 1, 7: 0, 8: 1, 9: 0, 10: 0})
166 | (269, 262, 282, 3.78, {0: 0, 1: 0, 2: 0, 3: 94, 4: 94, 5: 92, 6: 0, 7: 1, 8: 2, 9: 0, 10: 0})
167 | (267, 258, 286, 3.8,  {0: 0, 1: 0, 2: 0, 3: 101, 4: 92, 5: 93, 6: 0, 7: 0, 8: 3, 9: 0, 10: 0})
168 | (238, 275, 289, 2.04, {0: 0, 1: 92, 2: 117, 3: 35, 4: 45, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0})
169 | (232, 249, 267, 2.71, {0: 0, 1: 38, 2: 108, 3: 55, 4: 24, 5: 0, 6: 52, 7: 1, 8: 0, 9: 0, 10: 0})
170 | (291, 259, 284, 2.41, {0: 103, 1: 31, 2: 0, 3: 0, 4: 57, 5: 94, 6: 0, 7: 0, 8: 2, 9: 0, 10: 0})
171 | (270, 271, 288, 2.81, {0: 101, 1: 0, 2: 0, 3: 0, 4: 93, 5: 94, 6: 0, 7: 0, 8: 3, 9: 0, 10: 0})
172 | (279, 237, 288, 3.33, {0: 0, 1: 0, 2: 56, 3: 93, 4: 94, 5: 43, 6: 0, 7: 0, 8: 2, 9: 0, 10: 0})
173 | (225, 174, 138, 1.11, {0: 15, 1: 98, 2: 11, 3: 44, 4: 31, 5: 3, 6: 0, 7: 6, 8: 0, 9: 0, 10: 0})
174 | (279, 250, 286, 2.82, {0: 0, 1: 0, 2: 102, 3: 94, 4: 90, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0})
175 | (276, 278, 291, 1.58, {0: 93, 1: 45, 2: 94, 3: 0, 4: 58, 5: 0, 6: 0, 7: 0, 8: 1, 9: 0, 10: 0})
176 | (271, 275, 284, 1.3,  {0: 85, 1: 44, 2: 118, 3: 37, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 1, 10: 0})
177 | (262, 262, 290, 2.48, {0: 0, 1: 43, 2: 98, 3: 92, 4: 57, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0})
178 | (283, 285, 287, 3.85, {0: 0, 1: 0, 2: 0, 3: 96, 4: 93, 5: 96, 6: 0, 7: 1, 8: 2, 9: 0, 10: 0})
179 | (248, 227, 264, 1.56, {0: 31, 1: 101, 2: 64, 3: 57, 4: 0, 5: 1, 6: 10, 7: 1, 8: 1, 9: 1, 10: 0})
180 | (269, 262, 287, 1.86, {0: 0, 1: 104, 2: 96, 3: 87, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 1, 10: 0})
181 | (226, 256, 242, 1.55, {0: 44, 1: 96, 2: 46, 3: 59, 4: 34, 5: 0, 6: 0, 7: 0, 8: 1, 9: 1, 10: 0})
182 | (279, 277, 276, 3.16, {0: 0, 1: 0, 2: 83, 3: 60, 4: 103, 5: 0, 6: 25, 7: 0, 8: 5, 9: 1, 10: 0})
183 | (271, 275, 279, 2.3,  {0: 0, 1: 59, 2: 90, 3: 82, 4: 45, 5: 0, 6: 1, 7: 0, 8: 3, 9: 1, 10: 0})
184 | (262, 266, 286, 1.46, {0: 104, 1: 37, 2: 89, 3: 0, 4: 56, 5: 0, 6: 0, 7: 0, 8: 1, 9: 0, 10: 0})
185 | (288, 258, 279, 3.96, {0: 26, 1: 0, 2: 0, 3: 17, 4: 94, 5: 97, 6: 43, 7: 1, 8: 2, 9: 1, 10: 0})
186 | (283, 269, 283, 3.4,  {0: 0, 1: 0, 2: 40, 3: 94, 4: 94, 5: 53, 6: 0, 7: 0, 8: 2, 9: 0, 10: 0})
187 | (283, 266, 276, 3.29, {0: 0, 1: 41, 2: 0, 3: 88, 4: 54, 5: 93, 6: 0, 7: 1, 8: 0, 9: 1, 10: 0})
188 | (268, 255, 277, 2.69, {0: 0, 1: 48, 2: 59, 3: 84, 4: 42, 5: 44, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0})
189 | (257, 271, 279, 2.76, {0: 0, 1: 74, 2: 40, 3: 46, 4: 62, 5: 57, 6: 0, 7: 0, 8: 1, 9: 0, 10: 0})
190 | (274, 262, 289, 2.88, {0: 0, 1: 0, 2: 94, 3: 103, 4: 92, 5: 0, 6: 0, 7: 0, 8: 1, 9: 0, 10: 0})
191 | (252, 282, 285, 1.47, {0: 91, 1: 50, 2: 97, 3: 0, 4: 45, 5: 0, 6: 0, 7: 0, 8: 2, 9: 1, 10: 0})
192 | (235, 253, 279, 2.3,  {0: 43, 1: 42, 2: 58, 3: 47, 4: 58, 5: 30, 6: 0, 7: 2, 8: 1, 9: 0, 10: 0})
193 | (278, 247, 272, 2.71, {0: 0, 1: 0, 2: 97, 3: 96, 4: 74, 5: 0, 6: 1, 7: 5, 8: 0, 9: 1, 10: 0})
194 | (266, 273, 272, 2.39, {0: 0, 1: 31, 2: 102, 3: 117, 4: 0, 5: 0, 6: 22, 7: 0, 8: 0, 9: 1, 10: 0})
195 | (258, 272, 287, 2.87, {0: 0, 1: 0, 2: 99, 3: 93, 4: 94, 5: 0, 6: 0, 7: 0, 8: 1, 9: 0, 10: 0})
196 | (266, 268, 284, 3.22, {0: 55, 1: 0, 2: 0, 3: 44, 4: 91, 5: 95, 6: 0, 7: 0, 8: 2, 9: 0, 10: 0})
197 | (274, 283, 287, 1.37, {0: 97, 1: 49, 2: 101, 3: 0, 4: 40, 5: 0, 6: 0, 7: 0, 8: 1, 9: 0, 10: 0})
198 | (265, 250, 287, 2.37, {0: 0, 1: 46, 2: 102, 3: 94, 4: 45, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0})
199 | (268, 276, 286, 1.86, {0: 0, 1: 103, 2: 93, 3: 90, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 1, 10: 0})
