# seed | (motifHits, avgDiff, mapDiff)
66  | (273, 2.70,   {0: 93, 1: 0, 2: 0, 3: 0, 4: 88, 5: 94, 6: 0, 7: 0, 8: 2, 9: 0, 10: 1})
67  | (132, 1.16,   {0: 0, 1: 49, 2: 56, 3: 0, 4: 49, 5: 1, 6: 3, 7: 2, 8: 1, 9: 4, 10: 6})
68  | (39, 0.84,    {0: 1, 1: 0, 2: 2, 3: 6, 4: 3, 5: 4, 6: 20, 7: 17, 8: 4, 9: 6, 10: 2})
69  | (286, 2.79,   {0: 0, 1: 101, 2: 0, 3: 94, 4: 0, 5: 91, 6: 0, 7: 1, 8: 0, 9: 0, 10: 0})
70  | (173, 1.63,   {0: 0, 1: 103, 2: 0, 3: 2, 4: 39, 5: 1, 6: 34, 7: 3, 8: 5, 9: 4, 10: 5})
71  | (68, 1.39,    {0: 0, 1: 88, 2: 0, 3: 0, 4: 3, 5: 1, 6: 65, 7: 2, 8: 0, 9: 5, 10: 3})
72  | (275, 2.58,   {0: 102, 1: 0, 2: 0, 3: 3, 4: 89, 5: 84, 6: 1, 7: 1, 8: 2, 9: 0, 10: 0})
73  | (280, 2.79,   {0: 0, 1: 96, 2: 0, 3: 94, 4: 0, 5: 87, 6: 1, 7: 1, 8: 1, 9: 2, 10: 0})
74  | (283, 3.75,   {0: 0, 1: 0, 2: 0, 3: 96, 4: 99, 5: 87, 6: 0, 7: 0, 8: 2, 9: 0, 10: 0})
75  | (108, 1.12,   {0: 1, 1: 4, 2: 57, 3: 1, 4: 45, 5: 2, 6: 4, 7: 3, 8: 4, 9: 4, 10: 4})
76  | (228, 1.73,   {0: 0, 1: 105, 2: 47, 3: 23, 4: 37, 5: 1, 6: 17, 7: 1, 8: 1, 9: 4, 10: 0})
77  | (186, 2.99,   {0: 0, 1: 28, 2: 0, 3: 0, 4: 2, 5: 88, 6: 68, 7: 3, 8: 3, 9: 3, 10: 4})
78  | (282, 3.79,   {0: 0, 1: 0, 2: 0, 3: 94, 4: 97, 5: 87, 6: 0, 7: 1, 8: 4, 9: 1, 10: 0})
79  | (132, 1.77,   {0: 0, 1: 2, 2: 0, 3: 37, 4: 89, 5: 2, 6: 2, 7: 8, 8: 8, 9: 1, 10: 3})
80  | (228, 1.31,   {0: 97, 1: 41, 2: 28, 3: 1, 4: 26, 5: 32, 6: 0, 7: 2, 8: 2, 9: 3, 10: 2})
81  | (238, 3.13,   {0: 0, 1: 0, 2: 34, 3: 40, 4: 96, 5: 58, 6: 1, 7: 9, 8: 4, 9: 0, 10: 4})
82  | (152, 0.84,   {0: 97, 1: 0, 2: 4, 3: 1, 4: 48, 5: 0, 6: 0, 7: 1, 8: 5, 9: 8, 10: 1})
83  | (253, 1.54,   {0: 93, 1: 84, 2: 0, 3: 0, 4: 0, 5: 76, 6: 0, 7: 0, 8: 2, 9: 2, 10: 0})
84  | (149, 0.42,   {0: 102, 1: 1, 2: 44, 3: 1, 4: 1, 5: 2, 6: 3, 7: 2, 8: 5, 9: 3, 10: 4})
85  | (280, 2.81,   {0: 0, 1: 40, 2: 40, 3: 84, 4: 114, 5: 0, 6: 0, 7: 0, 8: 3, 9: 0, 10: 1})
86  | (180, 2.09,   {0: 0, 1: 71, 2: 82, 3: 42, 4: 0, 5: 1, 6: 56, 7: 1, 8: 0, 9: 1, 10: 0})
87  | (205, 0.88,   {0: 102, 1: 0, 2: 93, 3: 1, 4: 0, 5: 0, 6: 3, 7: 8, 8: 1, 9: 5, 10: 0})
88  | (285, 2.39,   {0: 41, 1: 99, 2: 0, 3: 53, 4: 0, 5: 92, 6: 0, 7: 2, 8: 0, 9: 0, 10: 0})
89  | (5, 0.14,     {0: 0, 1: 0, 2: 9, 3: 1, 4: 2, 5: 5, 6: 2, 7: 2, 8: 4, 9: 7, 10: 2})
